Transaction_Amount_orig,Transaction_Amount_noisy,Transaction_Amount_smooth
39.79,54.46924704582102,54.46924704582102
1.19,-2.8960841637095904,25.786581441055716
28.96,48.100948575531575,33.224703819214334
254.32,299.32965270435756,99.75094104050014
31.28,24.36013429184728,84.67277969076956
168.55,161.6306194814907,97.49908632255642
3.79,50.46001114469017,90.7792184400041
7.08,29.759772485813457,83.15178769573026
34.25,20.375761766509527,76.17667370359464
16.24,32.27411714505684,71.78641804774085
367.5,353.8047534342258,101.71996868658132
50.44,36.676425783719225,105.6772196813242
55.5,62.65063973626201,107.13218879739725
54.09,-2.4526074714355275,76.95396277981794
9.66,-41.31598859162834,70.38635049147038
64.78,48.16288228254714,59.03957677157602
37.11,7.178100252523976,54.71138568235941
1.58,10.86685885169854,52.822094318947926
178.56,151.72543197465993,65.95706133976296
19.37,-22.367395260326607,60.492910099224616
